op_name, stream_id, start_time(ms), duration(ms)
Default/Add-op0,1,1201403890.258000,0.346
Default/RealDiv-op1,1,1201404366.092000,0.186
Default/Sub-op2,1,1201405385.080000,2.046
Default/Add-op3,1,1201406404.343000,0.094
Default/Mul-op4,1,1201407390.990000,1.881
Default/Ceil-op5,1,1201407983.114000,1.706
Default/Mul-op4,1,1201407985.845000,0.073
Default/Floor-op6,1,1201408416.754000,255.88
Default/Sub-op7,1,1201408933.040000,0.249
Default/Add-op3,1,1201408934.035000,0.095
Default/ReduceMax-op8,1,1201408993.373000,0.197
Default/Add-op11,1,1201409354.913000,94.949
Default/RealDiv-op12,1,1201409575.423000,0.182
Default/Sub-op13,1,1201409630.250000,0.182
Default/ZerosLike-op14,1,1201409683.022000,0.172
Default/Abs-op15,1,1201409736.037000,0.165
Default/Less-op16,1,1201409790.140000,0.153
Default/Cast-op17,1,1201411217.361000,212.255
Default/Gather-op18,1,1201412320.263000,0.225
Default/Mul-op19,1,1201414315.281000,0.215
Default/Cos-op20,1,1201414938.662000,2.824
Default/Add-op21,1,1201415349.483000,0.191
Default/Mul-op19,1,1201415591.905000,0.088
Default/Less-op22,1,1201416987.896000,10.703
Default/Add-op23,1,1201417823.717000,0.188
Default/Select-op24,1,1201418858.471000,2.141
Default/TensorMove-op26,1,1201418927.466000,2.217
Default/ScatterNdUpdate-op27,1,1201418929.885000,0.226
Default/Equal-op28,1,1201420055.803000,188.729
Default/LogicalNot-op29,1,1201420618.069000,469.444
Default/Cast-op17,1,1201421121.618000,0.076
Default/Cast-op17,1,1201421134.631000,0.059
Default/Gather-op18,1,1201421149.754000,0.082
Default/Gather-op18,1,1201421164.764000,0.068
Default/Mul-op19,1,1201421183.747000,0.057
Default/Sin-op30,1,1201422506.733000,5.108
Default/Gather-op18,1,1201422513.529000,0.09
Default/Mul-op19,1,1201422514.292000,0.097
Default/RealDiv-op31,1,1201423708.043000,255.32
Default/Mul-op32,1,1201425722.076000,495.836
Default/Less-op22,1,1201426254.268000,0.113
Default/Add-op23,1,1201426260.188000,0.071
Default/Select-op24,1,1201426261.300000,0.073
Default/TensorMove-op26,1,1201426406.314000,0.07
Default/ScatterNdUpdate-op27,1,1201426423.210000,0.19
Default/Gather-op18,1,1201426464.697000,0.073
Default/Mul-op19,1,1201426493.005000,0.067
Default/Less-op22,1,1201426528.176000,0.072
Default/Add-op23,1,1201426549.705000,0.078
Default/Select-op24,1,1201426563.863000,0.065
Default/TensorMove-op26,1,1201426593.293000,0.086
Default/ScatterNdUpdate-op27,1,1201426604.680000,0.171
Default/RealDiv-op12,1,1201426627.174000,0.067
Default/Add-op33,1,1201428975.681000,8.564
Default/RealDiv-op34,1,1201430018.392000,396.266
Default/Sub-op35,1,1201431666.516000,0.885
Default/Add-op36,1,1201433442.757000,23.674
Default/Mul-op37,1,1201436285.960000,4.503
Default/Ceil-op38,1,1201437452.933000,529.564
