full_op_name,execution_time
Add-op0,0.209
RealDiv-op1,0.123
Sub-op2,1.0535
Add-op3,0.0785
Mul-op4,0.52425
Ceil-op5,0.894
Floor-op6,127.972
Sub-op7,0.1565
ReduceMax-op8,0.1295
Add-op11,47.5165
RealDiv-op12,0.10125
Sub-op13,0.1215
ZerosLike-op14,0.117
Abs-op15,0.1135
Less-op16,0.1085
Cast-op17,35.430167
Gather-op18,0.0928
Mul-op19,0.0876
Cos-op20,1.445
Add-op21,0.126
Less-op22,1.862333
Add-op23,0.092167
Select-op24,0.4125
TensorMove-op26,0.427667
ScatterNdUpdate-op27,0.187167
Equal-op28,94.394
LogicalNot-op29,234.752
Sin-op30,2.588
RealDiv-op31,127.6925
Mul-op32,247.948
Add-op33,4.3265
RealDiv-op34,198.1675
Sub-op35,0.475
Add-op36,5.9725
Mul-op37,1.18425
Ceil-op38,264.82
Floor-op39,259.513
Sub-op40,129.9405
ReduceMax-op41,8.827
Add-op43,43.9255
RealDiv-op44,0.175
Sub-op45,279.5725
ZerosLike-op46,1.2925
Abs-op47,0.181
Less-op48,0.1465
Cast-op49,0.104333
Gather-op50,0.0853
Mul-op51,0.1278
Cos-op52,146.222
Add-op53,0.1545
Less-op54,2.034333
Add-op55,2.632
Select-op56,86.842333
TensorMove-op58,8.669167
ScatterNdUpdate-op59,0.175667
Equal-op60,0.8645
LogicalNot-op61,0.66
Sin-op62,0.153
RealDiv-op63,328.6955
Mul-op64,218.304
Add-op65,8.376
RealDiv-op66,8.076
Sub-op67,0.151
Add-op68,0.07925
Mul-op69,4.15475
Ceil-op70,317.956
Floor-op71,1.5775
Sub-op72,269.8295
ReduceMax-op73,1.44
Add-op75,110.12
RealDiv-op76,0.18225
Sub-op77,270.5065
ZerosLike-op78,138.0015
Abs-op79,0.1645
Less-op80,0.1365
Cast-op81,0.090333
Gather-op82,0.0833
Mul-op83,0.077
Cos-op84,0.145
Add-op85,0.136
Less-op86,0.138333
Add-op87,0.083
Select-op88,0.598667
TensorMove-op90,0.101667
ScatterNdUpdate-op91,0.191833
Equal-op92,0.1435
LogicalNot-op93,0.1515
Sin-op94,0.1385
RealDiv-op95,1.036
Mul-op96,1.037
Add-op97,5.877
Mul-op99,0.12275
Add-op100,0.1035
Mul-op101,0.083
Exp-op102,0.8325
Mul-op103,64.887375
Sin-op104,100.4985
Cast-op109,36.393625
Tile-op107,1.179375
Cast-op108,1.44975
Cast-op113,0.234375
Tile-op111,0.11125
Cast-op112,1.363375
Stack-op114,15.118875
TensorMove-op115,0.104
ScatterNdUpdate-op116,95.45775
Cos-op117,30.64975
TensorMove-op118,0.1005
ScatterNdUpdate-op119,96.32075
UniformReal-op121,3.573
Concat-op124,0.236
StridedSlice-op125,0.583
UniformReal-op126,0.219
Greater-op127,0.6
Mul-op129,0.886
Abs-op130,0.726
Cast-op131,0.748
Cast-op132,0.055
Abs-op133,0.721
Abs-op134,0.047
GreaterEqual-op135,0.719
Cast-op136,0.738
Identity-op138,4.323
Identity-op140,0.29
Identity-op142,0.206
Cast-op143,0.1645
Select-op144,0.429
Cast-op145,0.051
Identity-op147,0.254333
Cast-op149,0.111
Equal-op150,0.445667
Cast-op151,0.0562
Identity-op153,0.289
Identity-op155,0.262
Identity-op157,0.249077
Cast-op158,0.1592
Select-op159,0.0722
RealDiv-op160,2.105
Floor-op161,2.167
Mul-op162,1.765
Sub-op163,1.667667
ReduceSum-op164,2.022667
Cast-op165,0.0572
Greater-op166,1.13975
Cast-op168,0.24
FloorDiv-op169,0.394
FloorDiv-op170,0.061667
