op_name, stream_id, start_time(ms), duration(ms)
Default/Add-op0,1,1794811132.725000,0.27
Default/RealDiv-op1,1,1794811193.505000,0.143
Default/Sub-op2,1,1794811251.290000,0.157
Default/Add-op3,1,1794811308.820000,0.073
Default/Mul-op4,1,1794811368.894000,0.176
Default/Ceil-op5,1,1794811425.742000,0.169
Default/Mul-op4,1,1794811426.438000,0.056
Default/Floor-op6,1,1794811481.986000,0.157
Default/Sub-op7,1,1794811538.542000,0.142
Default/Add-op3,1,1794811539.156000,0.051
Default/ReduceMax-op8,1,1794811596.081000,0.15
Default/Add-op11,1,1794811667.319000,0.152
Default/RealDiv-op12,1,1794811724.770000,0.127
Default/Sub-op13,1,1794811781.087000,0.141
Default/ZerosLike-op14,1,1794811835.959000,0.145
Default/Abs-op15,1,1794811890.919000,0.128
Default/Less-op16,1,1794811946.410000,0.143
Default/Cast-op17,1,1794812025.510000,0.144
Default/Gather-op18,1,1794812082.029000,0.143
Default/Mul-op19,1,1794812141.978000,0.143
Default/Cos-op20,1,1794812197.006000,0.157
Default/Add-op21,1,1794812256.330000,0.136
Default/Mul-op19,1,1794812256.941000,0.059
Default/Less-op22,1,1794812313.208000,0.13
Default/Add-op23,1,1794812371.983000,0.127
Default/Select-op24,1,1794812430.522000,0.145
Default/TensorMove-op26,1,1794812495.308000,0.149
Default/ScatterNdUpdate-op27,1,1794812495.574000,0.217
Default/Equal-op28,1,1794812551.133000,0.132
Default/LogicalNot-op29,1,1794812605.955000,0.135
Default/Cast-op17,1,1794812606.577000,0.056
Default/Cast-op17,1,1794812606.999000,0.055
Default/Gather-op18,1,1794812607.405000,0.075
Default/Gather-op18,1,1794812607.812000,0.061
Default/Mul-op19,1,1794812608.261000,0.056
Default/Sin-op30,1,1794812663.155000,0.146
Default/Gather-op18,1,1794812663.739000,0.067
Default/Mul-op19,1,1794812664.191000,0.054
Default/RealDiv-op31,1,1794812722.864000,0.189
Default/Mul-op32,1,1794812782.336000,0.161
Default/Less-op22,1,1794812783.471000,0.054
Default/Add-op23,1,1794812783.924000,0.055
Default/Select-op24,1,1794812784.283000,0.058
Default/TensorMove-op26,1,1794812784.956000,0.062
Default/ScatterNdUpdate-op27,1,1794812785.134000,0.15
Default/Gather-op18,1,1794812785.664000,0.062
Default/Mul-op19,1,1794812786.095000,0.054
Default/Less-op22,1,1794812786.856000,0.053
Default/Add-op23,1,1794812787.286000,0.056
Default/Select-op24,1,1794812787.633000,0.059
Default/TensorMove-op26,1,1794812788.273000,0.078
Default/ScatterNdUpdate-op27,1,1794812788.467000,0.152
Default/RealDiv-op12,1,1794812789.021000,0.055
Default/Add-op33,1,1794812851.973000,0.15
Default/RealDiv-op34,1,1794812911.128000,0.141
Default/Sub-op35,1,1794812968.890000,0.176
Default/Add-op36,1,1794813025.594000,0.073
Default/Mul-op37,1,1794813088.184000,0.177
Default/Ceil-op38,1,1794813146.388000,0.18
Default/Mul-op37,1,1794813147.153000,0.065
Default/Floor-op39,1,1794813204.711000,0.168
Default/Sub-op40,1,1794813264.164000,0.188
Default/Add-op36,1,1794813264.917000,0.061
Default/ReduceMax-op41,1,1794813324.206000,0.158
Default/Add-op43,1,1794813395.185000,0.196
Default/RealDiv-op44,1,1794813456.742000,0.163
Default/Sub-op45,1,1794813516.416000,0.184
Default/ZerosLike-op46,1,1794813576.342000,0.205
Default/Abs-op47,1,1794813637.133000,0.188
Default/Less-op48,1,1794813694.585000,0.123
Default/Cast-op49,1,1794813773.249000,0.129
Default/Gather-op50,1,1794813828.138000,0.109
Default/Mul-op51,1,1794813885.917000,0.119
Default/Cos-op52,1,1794813939.894000,0.121
Default/Add-op53,1,1794813996.959000,0.118
Default/Mul-op51,1,1794813997.479000,0.056
Default/Less-op54,1,1794814052.055000,0.115
Default/Add-op55,1,1794814111.571000,0.16
Default/Select-op56,1,1794814171.745000,0.165
Default/TensorMove-op58,1,1794814237.876000,0.176
Default/ScatterNdUpdate-op59,1,1794814238.170000,0.1
Default/Equal-op60,1,1794814295.073000,0.14
Default/LogicalNot-op61,1,1794814351.151000,0.169
Default/Cast-op49,1,1794814351.855000,0.083
Default/Cast-op49,1,1794814352.302000,0.057
Default/Gather-op50,1,1794814352.717000,0.066
Default/Gather-op50,1,1794814353.110000,0.055
Default/Mul-op51,1,1794814353.563000,0.055
Default/Sin-op62,1,1794814411.351000,0.18
Default/Gather-op50,1,1794814412.062000,0.065
Default/Mul-op51,1,1794814412.540000,0.054
Default/RealDiv-op63,1,1794814472.761000,0.171
Default/Mul-op64,1,1794814531.664000,0.158
Default/Less-op54,1,1794814532.742000,0.059
Default/Add-op55,1,1794814533.188000,0.056
Default/Select-op56,1,1794814533.543000,0.059
Default/TensorMove-op58,1,1794814534.223000,0.058
Default/ScatterNdUpdate-op59,1,1794814534.396000,0.053
Default/Gather-op50,1,1794814534.825000,0.058
Default/Mul-op51,1,1794814535.255000,0.056
Default/Less-op54,1,1794814536.017000,0.054
Default/Add-op55,1,1794814536.446000,0.074
Default/Select-op56,1,1794814536.811000,0.053
Default/TensorMove-op58,1,1794814537.441000,0.056
Default/ScatterNdUpdate-op59,1,1794814537.608000,0.054
Default/RealDiv-op44,1,1794814538.062000,0.056
Default/Add-op65,1,1794814599.722000,0.135
Default/RealDiv-op66,1,1794814657.736000,0.129
Default/Sub-op67,1,1794814714.169000,0.13
Default/Add-op68,1,1794814769.711000,0.064
Default/Mul-op69,1,1794814829.087000,0.149
Default/Ceil-op70,1,1794814884.088000,0.146
Default/Mul-op69,1,1794814884.714000,0.079
Default/Floor-op71,1,1794814939.532000,0.134
Default/Sub-op72,1,1794814998.431000,0.204
Default/Add-op68,1,1794814999.273000,0.064
Default/ReduceMax-op73,1,1794815062.375000,0.179
Default/Add-op75,1,1794815135.115000,0.226
Default/RealDiv-op76,1,1794815199.249000,0.17
Default/Sub-op77,1,1794815261.683000,0.206
Default/ZerosLike-op78,1,1794815322.856000,0.201
Default/Abs-op79,1,1794815384.399000,0.206
Default/Less-op80,1,1794815446.191000,0.178
Default/Cast-op81,1,1794815530.773000,0.202
Default/Gather-op82,1,1794815594.699000,0.185
Default/Mul-op83,1,1794815662.051000,0.185
Default/Cos-op84,1,1794815723.989000,0.21
Default/Add-op85,1,1794815787.056000,0.17
Default/Mul-op83,1,1794815787.788000,0.056
Default/Less-op86,1,1794815847.165000,0.173
Default/Add-op87,1,1794815909.605000,0.16
Default/Select-op88,1,1794815971.201000,0.17
Default/TensorMove-op90,1,1794816038.798000,0.179
Default/ScatterNdUpdate-op91,1,1794816039.096000,0.215
Default/Equal-op92,1,1794816097.268000,0.176
Default/LogicalNot-op93,1,1794816154.612000,0.165
Default/Cast-op81,1,1794816155.316000,0.06
Default/Cast-op81,1,1794816155.742000,0.071
Default/Gather-op82,1,1794816156.173000,0.065
Default/Gather-op82,1,1794816156.563000,0.062
Default/Mul-op83,1,1794816157.011000,0.079
Default/Sin-op94,1,1794816215.753000,0.198
Default/Gather-op82,1,1794816216.530000,0.061
Default/Mul-op83,1,1794816217.002000,0.059
Default/RealDiv-op95,1,1794816279.343000,0.219
Default/Mul-op96,1,1794816343.882000,0.206
Default/Less-op86,1,1794816345.105000,0.062
Default/Add-op87,1,1794816345.555000,0.057
Default/Select-op88,1,1794816345.912000,0.056
Default/TensorMove-op90,1,1794816346.579000,0.06
Default/ScatterNdUpdate-op91,1,1794816346.755000,0.193
Default/Gather-op82,1,1794816347.326000,0.062
Default/Mul-op83,1,1794816347.750000,0.056
Default/Less-op86,1,1794816348.493000,0.065
Default/Add-op87,1,1794816348.929000,0.059
Default/Select-op88,1,1794816349.279000,0.058
Default/TensorMove-op90,1,1794816349.912000,0.057
Default/ScatterNdUpdate-op91,1,1794816350.098000,0.168
Default/RealDiv-op76,1,1794816350.668000,0.075
Default/Add-op0,1,1794816356.800000,0.067
Default/RealDiv-op1,1,1794816357.399000,0.062
Default/Sub-op2,1,1794816357.824000,0.059
Default/Add-op3,1,1794816358.234000,0.057
