full_op_name,execution_time
Add-op0,0.1685
RealDiv-op1,0.1025
Sub-op2,0.108
Add-op3,0.06275
Mul-op4,0.09125
Ceil-op5,0.115
Floor-op6,0.106
Sub-op7,0.099
ReduceMax-op8,0.102
Add-op11,0.105
RealDiv-op12,0.0785
Sub-op13,0.1015
ZerosLike-op14,0.102
Abs-op15,0.092
Less-op16,0.101
Cast-op17,0.071833
Gather-op18,0.0726
Mul-op19,0.0693
Cos-op20,0.1075
Add-op21,0.099
Less-op22,0.072833
Add-op23,0.0675
Select-op24,0.073
TensorMove-op26,0.0775
ScatterNdUpdate-op27,0.166833
Equal-op28,0.0965
LogicalNot-op29,0.0965
Sin-op30,0.101
RealDiv-op31,0.122
Mul-op32,0.1075
Add-op33,0.1065
RealDiv-op34,0.1
Sub-op35,0.117
Add-op36,0.061
Mul-op37,0.09425
Ceil-op38,0.12
Floor-op39,0.112
Sub-op40,0.123
ReduceMax-op41,0.1185
Add-op43,0.126
RealDiv-op44,0.083
Sub-op45,0.1205
ZerosLike-op46,0.13
Abs-op47,0.1225
Less-op48,0.0895
Cast-op49,0.0735
Gather-op50,0.0645
Mul-op51,0.0653
Cos-op52,0.0865
Add-op53,0.087
Less-op54,0.069667
Add-op55,0.076333
Select-op56,0.076167
TensorMove-op58,0.078667
ScatterNdUpdate-op59,0.064833
Equal-op60,0.1005
LogicalNot-op61,0.112
Sin-op62,0.1185
RealDiv-op63,0.114
Mul-op64,0.1075
Add-op65,0.0965
RealDiv-op66,0.0935
Sub-op67,0.092
Add-op68,0.06025
Mul-op69,0.08575
Ceil-op70,0.1045
Floor-op71,0.096
Sub-op72,0.1315
ReduceMax-op73,0.131
Add-op75,0.1445
RealDiv-op76,0.089
Sub-op77,0.133
ZerosLike-op78,0.133
Abs-op79,0.1425
Less-op80,0.1185
Cast-op81,0.083167
Gather-op82,0.0765
Mul-op83,0.0712
Cos-op84,0.1345
Add-op85,0.1235
Less-op86,0.079833
Add-op87,0.074333
Select-op88,0.0755
TensorMove-op90,0.0775
ScatterNdUpdate-op91,0.184333
Equal-op92,0.115
LogicalNot-op93,0.11
Sin-op94,0.129
RealDiv-op95,0.137
Mul-op96,0.1305
Add-op97,0.099
Mul-op99,0.0845
Add-op100,0.07925
Mul-op101,0.059
Exp-op102,0.08225
Mul-op103,0.07325
Sin-op104,0.08425
Cast-op109,0.586
Tile-op107,0.07125
Cast-op108,1.44025
Cast-op113,0.207375
Tile-op111,0.1
Cast-op112,1.27425
Stack-op114,0.382
TensorMove-op115,0.06475
ScatterNdUpdate-op116,95.43325
Cos-op117,0.09125
TensorMove-op118,0.09625
ScatterNdUpdate-op119,96.2835
UniformReal-op121,1.586
Concat-op124,0.165
StridedSlice-op125,0.107
UniformReal-op126,0.219
Greater-op127,0.102
Mul-op129,0.1265
Abs-op130,0.0705
Cast-op131,0.098
Cast-op132,0.042
Abs-op133,0.093
Abs-op134,0.050667
GreaterEqual-op135,0.0675
Cast-op136,0.097
Identity-op138,3.364
Identity-op140,0.308
Identity-op142,0.225
Cast-op143,0.155
Select-op144,0.081
Cast-op145,0.06
Identity-op147,0.310667
Cast-op149,0.08
Equal-op150,0.064
Cast-op151,0.054667
Identity-op153,0.285
Identity-op155,0.284
Identity-op157,0.218588
Cast-op158,0.1505
Select-op159,0.059167
RealDiv-op160,0.074
Floor-op161,0.057667
Mul-op162,0.056667
Sub-op163,0.057833
ReduceSum-op164,0.111833
Cast-op165,0.060923
Greater-op166,0.057571
Cast-op168,0.112
FloorDiv-op169,0.092
FloorDiv-op170,0.052
Mul-op171,0.0445
LessEqual-op172,0.0825
Mul-op173,0.0645
Equal-op174,0.0845
Sub-op175,0.107
Add-op176,0.0865
StridedSlice-op178,0.1055
Pad-op179,0.1245
Cast-op186,0.079
TransData-op182,0.2675
Cast-op185,0.0775
Conv2D-op181,0.072
TransData-op188,0.112
Cast-op196,0.060417
TransData-op191,0.067333
Cast-op195,0.055667
Conv2DBackpropInput-op190,0.0525
Cast-op194,0.056417
TransData-op198,0.086417
Pad-op199,0.0825
StridedSlice-op200,0.101
Add-op201,0.032
StridedSlice-op202,0.0785
Pad-op203,0.129
Cast-op210,0.058
TransData-op206,0.2695
Cast-op209,0.071
Conv2D-op205,0.07
TransData-op212,0.052
Pad-op213,0.1285
StridedSlice-op214,0.084
Add-op215,0.053
StridedSlice-op216,0.0775
Pad-op217,0.11
Cast-op224,0.0575
TransData-op220,0.2635
Cast-op223,0.074
Conv2D-op219,0.073
TransData-op226,0.053
Pad-op227,0.127
StridedSlice-op228,0.113
Add-op229,0.055
StridedSlice-op230,0.0785
Pad-op231,0.127
Cast-op238,0.059
TransData-op234,0.2675
Cast-op237,0.076
Conv2D-op233,0.0675
TransData-op240,0.049
Pad-op241,0.109
StridedSlice-op242,0.0825
Add-op243,0.048
StridedSlice-op244,0.0765
Pad-op245,0.1215
Cast-op252,0.0565
TransData-op248,0.2665
Cast-op251,0.0725
Conv2D-op247,0.0665
TransData-op254,0.05
Pad-op255,0.1
StridedSlice-op256,0.105
Add-op257,0.048
StridedSlice-op258,0.0745
Pad-op259,0.146
Cast-op266,0.061
TransData-op262,0.2785
Cast-op265,0.1075
Conv2D-op261,0.072
TransData-op268,0.058429
Pad-op269,0.149
StridedSlice-op270,0.0835
Add-op271,0.053
StridedSlice-op272,0.073
StridedSlice-op273,0.104
Pad-op274,0.0725
Cast-op281,0.07
TransData-op277,0.267
Cast-op280,0.0725
Conv2D-op276,0.0785
TransData-op283,0.093
Cast-op291,0.063
TransData-op286,0.063962
Cast-op290,0.055923
Conv2DBackpropInput-op285,0.052923
Cast-op289,0.057731
TransData-op293,0.086231
Pad-op294,0.0725
StridedSlice-op295,0.0805
Add-op296,0.047
StridedSlice-op297,0.0755
StridedSlice-op298,0.12
Pad-op299,0.0725
Cast-op306,0.058
