[2022-11-21-16:59:08 +0800] 123.60.114.12 <GET / HTTP/1.1> 200 565 <-> <Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36 Edg/107.0.1418.52> 0.009705
[2022-11-21-16:59:08 +0800] 123.60.114.12 <GET /static/js/app.d49a2814.js HTTP/1.1> 200 0 <http://192.168.88.9:10004/> <Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36 Edg/107.0.1418.52> 0.123224
[2022-11-21-16:59:08 +0800] 123.60.114.12 <GET /static/css/app.b6f1f0bb.css HTTP/1.1> 200 0 <http://192.168.88.9:10004/> <Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36 Edg/107.0.1418.52> 0.161447
[2022-11-21-16:59:10 +0800] 123.60.114.12 <GET /static/js/chunk-vendors.417fabcd.js HTTP/1.1> 200 0 <http://192.168.88.9:10004/> <Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36 Edg/107.0.1418.52> 1.674043
[2022-11-21-16:59:10 +0800] 123.60.114.12 <GET /v1/mindinsight/ui-config HTTP/1.1> 200 26 <http://192.168.88.9:10004/> <Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36 Edg/107.0.1418.52> 0.001227
[2022-11-21-16:59:11 +0800] 123.60.114.12 <GET /static/js/chunk-69c2ef19.82ad0d06.js HTTP/1.1> 200 0 <http://192.168.88.9:10004/> <Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36 Edg/107.0.1418.52> 0.002332
[2022-11-21-16:59:11 +0800] 123.60.114.12 <GET /static/css/chunk-69c2ef19.9cb1bdd1.css HTTP/1.1> 200 0 <http://192.168.88.9:10004/> <Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36 Edg/107.0.1418.52> 0.001962
[2022-11-21-16:59:11 +0800] 123.60.114.12 <GET /static/fonts/element-icons.535877f5.woff HTTP/1.1> 200 0 <http://192.168.88.9:10004/static/css/app.b6f1f0bb.css> <Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36 Edg/107.0.1418.52> 0.001953
[2022-11-21-16:59:11 +0800] 123.60.114.12 <GET /static/img/logo.bcb1916f.png HTTP/1.1> 200 0 <http://192.168.88.9:10004/> <Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36 Edg/107.0.1418.52> 0.002296
[2022-11-21-16:59:11 +0800] 123.60.114.12 <GET /static/img/nodata.8290bed9.png HTTP/1.1> 200 0 <http://192.168.88.9:10004/> <Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36 Edg/107.0.1418.52> 0.001817
[2022-11-21-16:59:11 +0800] 123.60.114.12 <GET /v1/mindinsight/datavisual/train-jobs?limit=20&offset=0 HTTP/1.1> 200 69 <http://192.168.88.9:10004/> <Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36 Edg/107.0.1418.52> 0.001206
[2022-11-21-16:59:16 +0800] 123.60.114.12 <GET /static/css/chunk-02651d4c.92b3c838.css HTTP/1.1> 200 0 <http://192.168.88.9:10004/> <Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36 Edg/107.0.1418.52> 0.001760
